# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 3 --density 0.80 --temperature 1.0 --cutoff 2.5 --skin 0.4 --dt 0.001 --equilibrate 0 --production 1000 --thermostat none --seed 12345 --truncation linear-force-shift --thermo-out /Users/vishnu/molecular/results/exp02_thermo_dt0.001.csv
# git_sha: dd6f8b8
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# truncation: linear-force-shift
# pressure_includes_tail_correction: no
# potential_energy_includes_tail_correction: no
# temperature_dof: 3N=324 while Langevin drives (equilibration, and Langevin production), 3N-3=321 under the momentum-conserving integrators (NVE, Nose-Hoover), for which the centre-of-mass momentum is re-zeroed at the equilibration/production boundary
step,time,phase,potential_energy,kinetic_energy,total_energy,temperature,pressure
141,0.141,production,-496.492095,74.49628143,-421.9958136,0.4641512862,-0.8665523109
142,0.142,production,-496.9858851,74.99004103,-421.9958441,0.46722767,-0.8830274395
143,0.143,production,-497.4780611,75.48218846,-421.9958727,0.4702940091,-0.8996085852
144,0.144,production,-497.9679582,75.97205859,-421.9958996,0.4733461595,-0.9162659855
145,0.145,production,-498.4549432,76.4590184,-421.9959248,0.4763801769,-0.9329691459
146,0.146,production,-498.9384135,76.9424651,-421.9959484,0.4793923059,-0.9496942864
147,0.147,production,-499.4177957,77.42182503,-421.9959707,0.4823789722,-0.9664116346
148,0.148,production,-499.8925438,77.89655221,-421.9959916,0.4853367739,-0.9830937449
149,0.149,production,-500.362138,78.36612678,-421.9960113,0.4882624722,-0.9997166396
150,0.15,production,-500.826083,78.83005321,-421.9960298,0.4911529795,-1.016254621
151,0.151,production,-501.2839059,79.28785856,-421.9960474,0.4940053493,-1.032684857
152,0.152,production,-501.7351556,79.73909161,-421.996064,0.4968167701,-1.048984638
153,0.153,production,-502.1794012,80.1833215,-421.9960797,0.4995845576,-1.065133774
154,0.154,production,-502.6162315,80.62013689,-421.9960946,0.5023061489,-1.081110889
155,0.155,production,-503.0452537,81.04914493,-421.9961088,0.5049790961,-1.096894228
156,0.156,production,-503.466092,81.46996968,-421.9961223,0.5076010572,-1.112464252
157,0.157,production,-503.8783865,81.8822512,-421.9961353,0.5101697894,-1.127802257
158,0.158,production,-504.2817921,82.28564431,-421.9961478,0.5126831421,-1.142891637
159,0.159,production,-504.6759774,82.67981745,-421.9961599,0.5151390496,-1.157715983
160,0.16,production,-505.060623,83.06445135,-421.9961717,0.5175355224,-1.172258829
161,0.161,production,-505.4354212,83.43923772,-421.9961834,0.51987064,-1.186503559
162,0.162,production,-505.8000732,83.80387838,-421.9961948,0.5221425444,-1.200434337
163,0.163,production,-506.154291,84.15808492,-421.9962061,0.5243494387,-1.214036685
164,0.164,production,-506.4977947,84.50157727,-421.9962174,0.526489578,-1.227295878
165,0.165,production,-506.8303108,84.83408206,-421.9962288,0.528561259,-1.240197346
166,0.166,production,-507.151572,85.15533175,-421.9962402,0.5305628146,-1.2527266
167,0.167,production,-507.4613155,85.46506357,-421.996252,0.5324926079,-1.264871664
168,0.168,production,-507.7592825,85.76301858,-421.996264,0.5343490254,-1.276620094
169,0.169,production,-508.0452172,86.04894093,-421.9962763,0.5361304731,-1.287959904
