# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 3 --density 0.80 --temperature 1.0 --cutoff 2.5 --skin 0.4 --dt 0.004 --equilibrate 0 --production 250 --thermostat none --seed 12345 --truncation linear-force-shift --thermo-out /Users/vishnu/molecular/results/exp02_thermo_dt0.004.csv
# git_sha: f76287d
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# truncation: linear-force-shift
# pressure_includes_tail_correction: no
# potential_energy_includes_tail_correction: no
# temperature_dof: 3N=324 while Langevin drives (equilibration, and Langevin production), 3N-3=321 under the momentum-conserving integrators (NVE, Nose-Hoover), for which the centre-of-mass momentum is re-zeroed at the equilibration/production boundary
step,time,phase,potential_energy,kinetic_energy,total_energy,temperature,pressure
140,0.56,production,-505.3825282,83.37567507,-422.0068532,0.519474611,-1.185584512
141,0.564,production,-506.1321902,84.12243363,-422.0097565,0.5241273123,-1.211816372
142,0.568,production,-506.7295365,84.71772115,-422.0118154,0.5278362688,-1.23351405
143,0.572,production,-507.138258,85.12537207,-422.0128859,0.53037615,-1.249493744
144,0.576,production,-507.3378853,85.32494274,-422.0129426,0.531619581,-1.259108621
145,0.58,production,-507.3245504,85.31252188,-422.0120285,0.5315421924,-1.262201299
146,0.584,production,-507.1105205,85.10030428,-422.0102162,0.5302199644,-1.259106428
147,0.588,production,-506.723089,84.71549376,-422.0075952,0.527822391,-1.25062536
148,0.592,production,-506.2029688,84.1986625,-422.0043063,0.5246022586,-1.237996354
149,0.596,production,-505.6017922,83.60121288,-422.0005794,0.520879831,-1.222785514
150,0.6,production,-504.9782067,82.98145752,-421.9967492,0.5170184269,-1.20677692
151,0.604,production,-504.3923384,82.39907765,-421.9932607,0.5133898919,-1.191773739
152,0.608,production,-503.898871,81.908304,-421.990567,0.5103321121,-1.179427495
153,0.612,production,-503.540066,81.55105558,-421.9890104,0.5081062653,-1.171021503
154,0.616,production,-503.3404278,81.35168261,-421.9887452,0.5068640661,-1.167295853
155,0.62,production,-503.304341,81.31465706,-421.9896839,0.5066333773,-1.168399633
156,0.624,production,-503.4172484,81.4256901,-421.9915583,0.507325172,-1.173942815
157,0.628,production,-503.6496267,81.65561532,-421.9940114,0.5087577279,-1.183053988
158,0.632,production,-503.9624146,81.96572597,-421.9966886,0.5106898814,-1.194568509
159,0.636,production,-504.3125352,82.31324733,-421.9992878,0.5128551236,-1.207182204
160,0.64,production,-504.6577321,82.65616194,-422.0015701,0.5149916632,-1.219584543
161,0.644,production,-504.9604594,82.95710347,-422.003356,0.5168666883,-1.230627812
162,0.648,production,-505.1908807,83.1863725,-422.0045082,0.5182951558,-1.239392587
163,0.652,production,-505.3291299,83.32419533,-422.0049346,0.519153865,-1.245246608
164,0.656,production,-505.3668244,83.36223467,-422.0045897,0.5193908702,-1.247916647
165,0.66,production,-505.3077114,83.30419802,-422.0035134,0.5190292712,-1.247499228
166,0.664,production,-505.1670713,83.16524106,-422.0018303,0.5181634957,-1.24443932
167,0.668,production,-504.9696528,82.96986145,-421.9997914,0.5169461773,-1.239456914
168,0.672,production,-504.7458289,82.74808474,-421.9977441,0.5155643909,-1.233436379
169,0.676,production,-504.5263024,82.53021693,-421.9960855,0.5142069591,-1.227305122
170,0.68,production,-504.3361663,82.3409998,-421.9951665,0.5130280362,-1.221816424
171,0.684,production,-504.189702,82.19451619,-421.9951858,0.5121153657,-1.217419273
172,0.688,production,-504.0874425,82.09130904,-421.9961335,0.5114723305,-1.214161684
173,0.692,production,-504.0163604,82.01857796,-421.9977824,0.5110191773,-1.211721901
174,0.696,production,-503.9532166,81.953456,-421.9997606,0.510613433,-1.209484802
175,0.7,production,-503.8700511,81.86838933,-422.0016618,0.5100834226,-1.206687518
176,0.704,production,-503.740319,81.73720904,-422.00311,0.5092661,-1.202605532
177,0.708,production,-503.5445064,81.5406728,-422.0038336,0.5080415751,-1.196749145
178,0.712,production,-503.2742496,81.27057238,-422.0036772,0.5063587064,-1.188923544
179,0.716,production,-502.9345755,80.93194242,-422.0026331,0.5042488625,-1.179341435
180,0.72,production,-502.5439563,80.54312481,-422.0008315,0.5018263228,-1.168605799
181,0.724,production,-502.1320697,80.13349365,-421.998576,0.4992741038,-1.157625745
182,0.728,production,-501.7351406,79.73885082,-421.9962898,0.4968152699,-1.14750689
183,0.732,production,-501.3894703,79.39503037,-421.99444,0.4946730864,-1.13933865
184,0.736,production,-501.1244468,79.13105442,-421.9933923,0.4930283765,-1.134003895
185,0.74,production,-500.9570176,78.96370115,-421.9933164,0.491985677,-1.13200698
186,0.744,production,-500.8892512,78.89515504,-421.9940961,0.4915585984,-1.133421414
187,0.748,production,-500.909881,78.91446985,-421.9954112,0.4916789399,-1.137902887
188,0.752,production,-500.9990108,79.00216582,-421.996845,0.4922253322,-1.144835263
189,0.756,production,-501.1343318,79.13633859,-421.9979932,0.4930612996,-1.153518373
190,0.76,production,-501.2971224,79.2985545,-421.9985678,0.4940719907,-1.163334416
191,0.764,production,-501.4767202,79.4783124,-421.9984078,0.4951919776,-1.173876763
192,0.768,production,-501.6729894,79.67548235,-421.9975071,0.4964204508,-1.185038099
193,0.772,production,-501.8964683,79.90045259,-421.9960157,0.4978221345,-1.196992903
194,0.776,production,-502.1660848,80.17183055,-421.9942543,0.4995129629,-1.210139115
195,0.78,production,-502.504372,80.51169767,-421.9926743,0.5016305151,-1.224978634
