# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 3 --density 0.80 --temperature 1.0 --cutoff 2.5 --skin 0.4 --dt 0.002 --equilibrate 0 --production 500 --thermostat none --seed 12345 --truncation linear-force-shift --thermo-out /Users/vishnu/molecular/results/exp02_thermo_dt0.002.csv
# git_sha: 29c88d5
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# truncation: linear-force-shift
# pressure_includes_tail_correction: no
# potential_energy_includes_tail_correction: no
# temperature_dof: 3N=324 while Langevin drives (equilibration, and Langevin production), 3N-3=321 under the momentum-conserving integrators (NVE, Nose-Hoover), for which the centre-of-mass momentum is re-zeroed at the equilibration/production boundary
step,time,phase,potential_energy,kinetic_energy,total_energy,temperature,pressure
94,0.188,production,-510.881249,88.88077235,-422.0004766,0.5537742825,-1.412493657
95,0.19,production,-510.868934,88.8685185,-422.0004155,0.5536979346,-1.414669315
96,0.192,production,-510.7979948,88.79770605,-422.0002887,0.5532567355,-1.414809576
97,0.194,production,-510.6711776,88.67108988,-422.0000878,0.5524678497,-1.413011537
98,0.196,production,-510.492419,88.49261156,-421.9998074,0.5513558353,-1.409410853
99,0.198,production,-510.2669142,88.26746948,-421.9994448,0.5499530809,-1.40418401
100,0.2,production,-510.0011364,88.00213462,-421.9990017,0.5482999042,-1.397546687
101,0.202,production,-509.7027896,87.70430524,-421.9984844,0.5464442694,-1.389755348
102,0.204,production,-509.3806982,87.38279529,-421.9979029,0.5444410921,-1.381101072
103,0.206,production,-509.0446233,87.04734906,-421.9972742,0.5423510845,-1.371893743
104,0.208,production,-508.7049959,86.70837799,-421.996618,0.5402391152,-1.362458239
105,0.21,production,-508.3725971,86.37663884,-421.9959583,0.5381722046,-1.3531457
106,0.212,production,-508.0581788,86.06285758,-421.9953212,0.5362171812,-1.344286043
107,0.214,production,-507.7720506,85.77731543,-421.9947351,0.5344381024,-1.336205141
108,0.216,production,-507.5236454,85.52941788,-421.9942276,0.5328935694,-1.329198022
109,0.218,production,-507.3210931,85.32726929,-421.9938238,0.5316340766,-1.323520975
110,0.22,production,-507.1708309,85.17728494,-421.993546,0.5306995946,-1.319381428
111,0.222,production,-507.0772703,85.08386066,-421.9934097,0.5301175119,-1.316918982
112,0.224,production,-507.0425601,85.04913695,-421.9934231,0.5299011648,-1.316210154
113,0.226,production,-507.0664655,85.07288013,-421.9935853,0.5300490974,-1.317260552
114,0.228,production,-507.1463827,85.15249633,-421.9938863,0.5305451485,-1.320000664
115,0.23,production,-507.277497,85.28318999,-421.994307,0.5313594392,-1.32428869
116,0.232,production,-507.4530691,85.4582466,-421.9948225,0.5324501346,-1.329931243
117,0.234,production,-507.6648236,85.66942217,-421.9954015,0.5337658702,-1.336686093
118,0.236,production,-507.9034205,85.907409,-421.9960115,0.5352486542,-1.344272682
119,0.238,production,-508.1589525,86.16233148,-421.996621,0.5368369563,-1.352402083
120,0.24,production,-508.4214302,86.42422802,-421.9972022,0.5384687104,-1.360772716
121,0.242,production,-508.6812199,86.68348737,-421.9977325,0.5400840335,-1.369094145
122,0.244,production,-508.9294038,86.93120806,-421.9981957,0.5416274645,-1.377093559
123,0.246,production,-509.1580433,87.15946069,-421.9985826,0.5430495993,-1.3845203
124,0.248,production,-509.3603455,87.3614568,-421.9988887,0.544308142,-1.391166865
125,0.25,production,-509.5307466,87.53163042,-421.9991162,0.5453684138,-1.396848878
126,0.252,production,-509.6649101,87.66563958,-421.9992705,0.5462033619,-1.401421979
127,0.254,production,-509.7596662,87.76030796,-421.9993583,0.546793196,-1.40478008
128,0.256,production,-509.8129232,87.81353475,-421.9993885,0.5471248271,-1.406842399
129,0.258,production,-509.8235571,87.82418849,-421.9993686,0.5471912055,-1.407563132
130,0.26,production,-509.791305,87.79199948,-421.9993055,0.5469906509,-1.406929405
131,0.262,production,-509.7166712,87.71746749,-421.9992037,0.5465262772,-1.404942161
132,0.264,production,-509.6008571,87.60179029,-421.9990668,0.545805547,-1.401623358
133,0.266,production,-509.4457101,87.44681502,-421.998895,0.544839969,-1.39702162
134,0.268,production,-509.2537051,87.25501673,-421.9986883,0.5436449641,-1.391206941
135,0.27,production,-509.027938,87.02949093,-421.9984471,0.5422398189,-1.384265987
136,0.272,production,-508.7721129,86.77394192,-421.9981709,0.5406476132,-1.376297272
137,0.274,production,-508.4905263,86.49266483,-421.9978615,0.538895108,-1.367426461
138,0.276,production,-508.1880325,86.19051077,-421.9975217,0.5370125282,-1.357799505
