# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 3 --density 0.80 --temperature 1.0 --cutoff 2.5 --skin 0.4 --dt 0.008 --equilibrate 0 --production 125 --thermostat none --seed 12345 --truncation linear-force-shift --thermo-out /Users/vishnu/molecular/results/exp02_thermo_dt0.008.csv
# git_sha: f5f126c
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# truncation: linear-force-shift
# pressure_includes_tail_correction: no
# potential_energy_includes_tail_correction: no
step,time,phase,potential_energy,kinetic_energy,total_energy,temperature,pressure
108,0.864,production,-509.3295297,87.33197139,-421.9975583,0.5441244324,-1.360491767
109,0.872,production,-509.4063296,87.40858724,-421.9977423,0.5446017896,-1.348482521
110,0.88,production,-509.497825,87.49924006,-421.9985849,0.5451666047,-1.338011387
111,0.888,production,-509.5862277,87.58469736,-422.0015304,0.545699049,-1.328693129
112,0.896,production,-509.6252544,87.61897944,-422.006275,0.5459126445,-1.31911499
113,0.904,production,-509.5469635,87.53636471,-422.0105988,0.545397911,-1.30723767
114,0.912,production,-509.2935384,87.28103251,-422.0125058,0.5438070561,-1.291177375
115,0.92,production,-508.8468394,86.8352516,-422.0115878,0.541029605,-1.270238694
116,0.928,production,-508.2351806,86.22611863,-422.0090619,0.537234384,-1.245265459
117,0.936,production,-507.5161907,85.50918365,-422.007007,0.5327674994,-1.217919925
118,0.944,production,-506.7462857,84.73887771,-422.007408,0.5279680855,-1.190068783
119,0.952,production,-505.9524691,83.94203133,-422.0104378,0.5230033105,-1.162866239
120,0.96,production,-505.1297878,83.11680145,-422.0129863,0.5178616913,-1.136466682
121,0.968,production,-504.2844204,82.27495746,-422.009463,0.5126165574,-1.111532904
122,0.976,production,-503.5068899,81.51020073,-421.9966891,0.5078517179,-1.091136119
123,0.984,production,-503.0065763,81.02726031,-421.979316,0.5048427434,-1.08159009
124,0.992,production,-503.0379467,81.06918877,-421.9687579,0.5051039799,-1.090155879
125,1,production,-503.7380686,81.76371761,-421.974351,0.5094312624,-1.120044153
